Rate	Number of Leaves	n	WGD	Method	Distance
0.01	20	4	High WGD	Hamming NJ	0.184392206141964
0.01	20	4	High WGD	MEDICC2	0.201944270027672
0.01	20	4	Low WGD	MEDALT	0.489984679089483
0.01	20	4	Low WGD	Euclidean Min. Ev.	0.156063787766581
0.01	20	4	Low WGD	Euclidean NJ	0.134442747610605
0.01	20	4	Low WGD	Hamming Min. Ev.	0.156063787766581
0.01	20	4	Low WGD	Hamming NJ	0.262649491199996
0.01	20	4	Low WGD	MEDICC2	0.165668164675217
0.01	20	4	No WGD	MEDALT	0.526427128520696
0.01	20	4	No WGD	Euclidean Min. Ev.	0.204000121412008
0.01	20	4	No WGD	Euclidean NJ	0.196172818105945
0.01	20	4	No WGD	Hamming Min. Ev.	0.204000121412008
0.01	20	4	No WGD	Hamming NJ	0.246046098047607
0.01	20	4	No WGD	MEDICC2	0.181076098315161
0.01	20	5	High WGD	MEDALT	0.502466261073002
0.01	20	5	High WGD	Euclidean Min. Ev.	0.103248023720226
0.01	20	5	High WGD	Euclidean NJ	0.0872962569602607
0.01	20	5	High WGD	Hamming Min. Ev.	0.103248023720226
0.01	20	5	High WGD	Hamming NJ	0.121230446145327
0.01	20	5	High WGD	MEDICC2	0.121230446145327
0.01	20	5	Low WGD	MEDALT	0.32043375372897
0.01	20	5	Low WGD	Euclidean Min. Ev.	0.0949275664203802
0.01	20	5	Low WGD	Euclidean NJ	0.136261847272188
0.01	20	5	Low WGD	Hamming Min. Ev.	0.0949275664203802
0.01	20	5	Low WGD	Hamming NJ	0.0
0.01	20	5	Low WGD	MEDICC2	0.0
0.01	20	5	No WGD	MEDALT	0.35583315892935
0.01	20	5	No WGD	Euclidean Min. Ev.	0.235340432345669
0.01	20	5	No WGD	Euclidean NJ	0.266037128869273
0.01	20	5	No WGD	Hamming Min. Ev.	0.235340432345669
0.01	20	5	No WGD	Hamming NJ	0.0293428131852657
0.01	20	5	No WGD	MEDICC2	0.0
0.01	20	6	High WGD	MEDALT	0.375752034152087
0.01	20	6	High WGD	Euclidean Min. Ev.	0.149959272535477
0.01	20	6	High WGD	Euclidean NJ	0.149959272535477
0.01	20	6	High WGD	Hamming Min. Ev.	0.149959272535477
0.01	20	6	High WGD	Hamming NJ	0.103823136188622
0.01	20	6	High WGD	MEDICC2	0.0725288613345
0.01	20	6	Low WGD	MEDALT	0.453595880192636
0.01	20	6	Low WGD	Euclidean Min. Ev.	0.213684405516696
0.01	20	6	Low WGD	Euclidean NJ	0.213684405516696
0.01	20	6	Low WGD	Hamming Min. Ev.	0.213684405516696
0.01	20	6	Low WGD	Hamming NJ	0.244296533280419
0.01	20	6	Low WGD	MEDICC2	0.0581977349022202
0.01	20	6	No WGD	MEDALT	0.405498276889626
0.01	20	6	No WGD	Euclidean Min. Ev.	0.107499858035053
0.01	20	6	No WGD	Euclidean NJ	0.0938261202992479
0.01	20	6	No WGD	Hamming Min. Ev.	0.107499858035053
0.01	20	6	No WGD	Hamming NJ	0.0648355956971229
0.01	20	6	No WGD	MEDICC2	0.0
0.01	20	7	High WGD	MEDALT	0.282502114183837
0.01	20	7	High WGD	Euclidean Min. Ev.	0.110183015216019
0.01	20	7	High WGD	Euclidean NJ	0.15407373185196
0.01	20	7	High WGD	Hamming Min. Ev.	0.110183015216019
0.01	20	7	High WGD	Hamming NJ	0.110183015216019
0.01	20	7	High WGD	MEDICC2	0.110183015216019
0.01	20	7	Low WGD	MEDALT	0.526138963452323
0.01	20	7	Low WGD	Euclidean Min. Ev.	0.174782876195804
0.01	20	7	Low WGD	Euclidean NJ	0.167665086820535
0.01	20	7	Low WGD	Hamming Min. Ev.	0.174782876195804
0.01	20	7	Low WGD	Hamming NJ	0.0937790936772671
0.01	20	7	Low WGD	MEDICC2	0.0643609618962762
0.01	20	7	No WGD	MEDALT	0.438311090508184
0.01	20	7	No WGD	Euclidean Min. Ev.	0.169719345257888
0.01	20	7	No WGD	Euclidean NJ	0.198917640994383
0.01	20	7	No WGD	Hamming Min. Ev.	0.169719345257888
0.01	20	7	No WGD	Hamming NJ	0.120339445649335
0.01	20	7	No WGD	MEDICC2	0.0663773697978948
0.01	20	8	High WGD	MEDALT	0.546535913249218
0.01	20	8	High WGD	Euclidean Min. Ev.	0.254425381800912
0.01	20	8	High WGD	Euclidean NJ	0.30674831549348
0.01	20	8	High WGD	Hamming Min. Ev.	0.254425381800912
0.01	20	8	High WGD	Hamming NJ	0.237236546692485
0.01	20	8	High WGD	MEDICC2	0.0935189061190056
0.01	20	8	Low WGD	MEDALT	0.566879034147123
0.01	20	8	Low WGD	Euclidean Min. Ev.	0.0
0.01	20	8	Low WGD	Euclidean NJ	0.0299636812479968
0.01	20	8	Low WGD	Hamming Min. Ev.	0.0
0.01	20	8	Low WGD	Hamming NJ	0.104778549746915
0.01	20	8	Low WGD	MEDICC2	0.0599273624959942
0.01	20	8	No WGD	MEDALT	0.582511755013945
0.01	20	8	No WGD	Euclidean Min. Ev.	0.103772450503194
0.01	20	8	No WGD	Euclidean NJ	0.115906584178712
0.01	20	8	No WGD	Hamming Min. Ev.	0.103772450503194
0.01	20	8	No WGD	Hamming NJ	0.13463788081458
0.01	20	8	No WGD	MEDICC2	0.149537725834004
0.01	20	9	High WGD	MEDALT	0.490873248476938
0.01	20	9	High WGD	Euclidean Min. Ev.	0.198123530721578
0.01	20	9	High WGD	Euclidean NJ	0.219111170884575
0.01	20	9	High WGD	Hamming Min. Ev.	0.198123530721578
0.01	20	9	High WGD	Hamming NJ	0.125284694617789
0.01	20	9	High WGD	MEDICC2	0.0469244841059559
0.01	20	9	Low WGD	MEDALT	0.457996140451549
0.01	20	9	Low WGD	Euclidean Min. Ev.	0.243190200245975
0.01	20	9	Low WGD	Euclidean NJ	0.122493257018332
0.01	20	9	Low WGD	Hamming Min. Ev.	0.243190200245975
0.01	20	9	Low WGD	Hamming NJ	0.190180717656052
0.01	20	9	Low WGD	MEDICC2	0.115566768435522
0.01	20	9	No WGD	MEDALT	0.488794976968323
0.01	20	9	No WGD	Euclidean Min. Ev.	0.120675852442857
0.01	20	9	No WGD	Euclidean NJ	0.120675852442857
0.01	20	9	No WGD	Hamming Min. Ev.	0.120675852442857
0.01	20	9	No WGD	Hamming NJ	0.112695130334443
0.01	20	9	No WGD	MEDICC2	0.121922689981473
0.01	20	10	High WGD	MEDALT	0.573119762252133
0.01	20	10	High WGD	Euclidean Min. Ev.	0.167119196713802
0.01	20	10	High WGD	Euclidean NJ	0.136305468489064
0.01	20	10	High WGD	Hamming Min. Ev.	0.167119196713802
0.01	20	10	High WGD	Hamming NJ	0.18803730440261
0.01	20	10	High WGD	MEDICC2	0.189025750925327
0.01	20	10	Low WGD	MEDALT	0.332735335001884
0.01	20	10	Low WGD	Euclidean Min. Ev.	0.193375489478925
0.01	20	10	Low WGD	Euclidean NJ	0.137290737513304
0.01	20	10	Low WGD	Hamming Min. Ev.	0.193375489478925
0.01	20	10	Low WGD	Hamming NJ	0.193191918237813
0.01	20	10	Low WGD	MEDICC2	0.109434640060123
0.01	20	10	No WGD	MEDALT	0.398380963225018
0.01	20	10	No WGD	Euclidean Min. Ev.	0.129474186338457
0.01	20	10	No WGD	Euclidean NJ	0.118385943838107
0.01	20	10	No WGD	Hamming Min. Ev.	0.129474186338457
0.01	20	10	No WGD	Hamming NJ	0.132691144761782
0.01	20	10	No WGD	MEDICC2	0.197311918314572
0.01	20	11	High WGD	MEDALT	0.317138350235906
0.01	20	11	High WGD	Euclidean Min. Ev.	0.114058169715743
0.01	20	11	High WGD	Euclidean NJ	0.0295376133574508
0.01	20	11	High WGD	Hamming Min. Ev.	0.114058169715743
0.01	20	11	High WGD	Hamming NJ	0.160804180686098
0.01	20	11	High WGD	MEDICC2	0.0960507850752145
0.01	20	11	Low WGD	MEDALT	0.505408508466292
0.01	20	11	Low WGD	Euclidean Min. Ev.	0.161122201948218
0.01	20	11	Low WGD	Euclidean NJ	0.200108749777284
0.01	20	11	Low WGD	Hamming Min. Ev.	0.161122201948218
0.01	20	11	Low WGD	Hamming NJ	0.124876544673019
0.01	20	11	Low WGD	MEDICC2	0.0733507861956097
0.01	20	11	No WGD	MEDALT	0.395953812981387
0.01	20	11	No WGD	Euclidean Min. Ev.	0.203056150329559
0.01	20	11	No WGD	Euclidean NJ	0.202103122539422
0.01	20	11	No WGD	Hamming Min. Ev.	0.203056150329559
0.01	20	11	No WGD	Hamming NJ	0.0992484321097554
0.01	20	11	No WGD	MEDICC2	0.0
0.01	20	12	High WGD	MEDALT	0.465051735842591
0.01	20	12	High WGD	Euclidean Min. Ev.	0.207010276905862
0.01	20	12	High WGD	Euclidean NJ	0.207010276905862
0.01	20	12	High WGD	Hamming Min. Ev.	0.207010276905862
0.01	20	12	High WGD	Hamming NJ	0.183452158785855
0.01	20	12	High WGD	MEDICC2	0.0994681618146924
0.01	20	12	Low WGD	MEDALT	0.341382016754603
0.01	20	12	Low WGD	Euclidean Min. Ev.	0.14527985404129
0.01	20	12	Low WGD	Euclidean NJ	0.144302717791634
0.01	20	12	Low WGD	Hamming Min. Ev.	0.14527985404129
0.01	20	12	Low WGD	Hamming NJ	0.0928921643384668
0.01	20	12	Low WGD	MEDICC2	0.0448326822686139
0.01	20	12	No WGD	MEDALT	0.338274881885833
0.01	20	12	No WGD	Euclidean Min. Ev.	0.198815581729129
0.01	20	12	No WGD	Euclidean NJ	0.147301624626424
0.01	20	12	No WGD	Hamming Min. Ev.	0.198815581729129
0.01	20	12	No WGD	Hamming NJ	0.159215697166552
0.01	20	12	No WGD	MEDICC2	0.0887443541943117
0.01	20	13	High WGD	MEDALT	0.324836956344236
0.01	20	13	High WGD	Euclidean Min. Ev.	0.0720823339056326
0.01	20	13	High WGD	Euclidean NJ	0.0656972482242533
0.01	20	13	High WGD	Hamming Min. Ev.	0.0720823339056326
0.01	20	13	High WGD	Hamming NJ	0.0720823339056326
0.01	20	13	High WGD	MEDICC2	0.0404322385556294
0.01	20	13	Low WGD	MEDALT	0.555014592646
0.01	20	13	Low WGD	Euclidean Min. Ev.	0.196302350421534
0.01	20	13	Low WGD	Euclidean NJ	0.196302350421534
0.01	20	13	Low WGD	Hamming Min. Ev.	0.196302350421534
0.01	20	13	Low WGD	Hamming NJ	0.156312969430845
0.01	20	13	Low WGD	MEDICC2	0.0969483156889814
0.01	20	13	No WGD	MEDALT	0.387600734401497
0.01	20	13	No WGD	Euclidean Min. Ev.	0.0381590023282372
0.01	20	13	No WGD	Euclidean NJ	0.0680296230332476
0.01	20	13	No WGD	Hamming Min. Ev.	0.0381590023282372
0.01	20	13	No WGD	Hamming NJ	0.147131754249526
0.01	20	13	No WGD	MEDICC2	0.0600809754665632
0.01	20	14	High WGD	MEDALT	0.521608405316232
0.01	20	14	High WGD	Euclidean Min. Ev.	0.336755761522978
0.01	20	14	High WGD	Euclidean NJ	0.308067385293415
0.01	20	14	High WGD	Hamming Min. Ev.	0.336755761522978
0.01	20	14	High WGD	Hamming NJ	0.119406965570408
0.01	20	14	High WGD	MEDICC2	0.137705635071731
0.01	20	14	Low WGD	MEDALT	0.4430310825918
0.01	20	14	Low WGD	Euclidean Min. Ev.	0.143220303838553
0.01	20	14	Low WGD	Euclidean NJ	0.149299538513505
0.01	20	14	Low WGD	Hamming Min. Ev.	0.143220303838553
0.01	20	14	Low WGD	Hamming NJ	0.150106853280444
0.01	20	14	Low WGD	MEDICC2	0.0439404087631637
0.01	20	14	No WGD	MEDALT	0.461712059852719
0.01	20	14	No WGD	Euclidean Min. Ev.	0.063798581571899
0.01	20	14	No WGD	Euclidean NJ	0.063798581571899
0.01	20	14	No WGD	Hamming Min. Ev.	0.063798581571899
0.01	20	14	No WGD	Hamming NJ	0.165107774359416
0.01	20	14	No WGD	MEDICC2	0.0519534496766063
0.01	20	15	High WGD	MEDALT	0.471403771584259
0.01	20	15	High WGD	Euclidean Min. Ev.	0.338754578441441
0.01	20	15	High WGD	Euclidean NJ	0.159139353744928
0.01	20	15	High WGD	Hamming Min. Ev.	0.338754578441441
0.01	20	15	High WGD	Hamming NJ	0.120412583258223
0.01	20	15	High WGD	MEDICC2	0.143524652294275
0.01	20	15	Low WGD	MEDALT	0.455421373018749
0.01	20	15	Low WGD	Euclidean Min. Ev.	0.364031124256492
0.01	20	15	Low WGD	Euclidean NJ	0.364031124256492
0.01	20	15	Low WGD	Hamming Min. Ev.	0.364031124256492
0.01	20	15	Low WGD	Hamming NJ	0.289275600249632
0.01	20	15	Low WGD	MEDICC2	0.166704329952303
0.01	20	15	No WGD	MEDALT	0.323781444668742
0.01	20	15	No WGD	Euclidean Min. Ev.	0.143868609963525
0.01	20	15	No WGD	Euclidean NJ	0.178139896232554
0.01	20	15	No WGD	Hamming Min. Ev.	0.143868609963525
0.01	20	15	No WGD	Hamming NJ	0.211664163854193
0.01	20	15	No WGD	MEDICC2	0.0591481180717237
0.01	20	16	High WGD	MEDALT	0.416330420325487
0.01	20	16	High WGD	Euclidean Min. Ev.	0.096476097537068
0.01	20	16	High WGD	Euclidean NJ	0.151777430990514
0.01	20	16	High WGD	Hamming Min. Ev.	0.096476097537068
0.01	20	16	High WGD	Hamming NJ	0.0957478715496135
0.01	20	16	High WGD	MEDICC2	0.0
0.01	20	16	Low WGD	MEDALT	0.43000394812082
0.01	20	16	Low WGD	Euclidean Min. Ev.	0.173556479139481
0.01	20	16	Low WGD	Euclidean NJ	0.151358292080806
0.01	20	16	Low WGD	Hamming Min. Ev.	0.173556479139481
0.01	20	16	Low WGD	Hamming NJ	0.152584971099013
0.01	20	16	Low WGD	MEDICC2	0.0719064379318995
0.01	20	16	No WGD	MEDALT	0.419705408243248
0.01	20	16	No WGD	Euclidean Min. Ev.	0.0930342579688651
0.01	20	16	No WGD	Euclidean NJ	0.0930342579688651
0.01	20	16	No WGD	Hamming Min. Ev.	0.0930342579688651
0.01	20	16	No WGD	Hamming NJ	0.113328637629582
0.01	20	16	No WGD	MEDICC2	0.0930342579688651
0.01	20	17	High WGD	MEDALT	0.642631967441023
0.01	20	17	High WGD	Euclidean Min. Ev.	0.21949520610392
0.01	20	17	High WGD	Euclidean NJ	0.21949520610392
0.01	20	17	High WGD	Hamming Min. Ev.	0.21949520610392
0.01	20	17	High WGD	Hamming NJ	0.21731174116439
0.01	20	17	High WGD	MEDICC2	0.138478488047646
0.01	20	17	Low WGD	MEDALT	0.463599418104461
0.01	20	17	Low WGD	Euclidean Min. Ev.	0.113040282502346
0.01	20	17	Low WGD	Euclidean NJ	0.152683834223794
0.01	20	17	Low WGD	Hamming Min. Ev.	0.113040282502346
0.01	20	17	Low WGD	Hamming NJ	0.13583761179124
0.01	20	17	Low WGD	MEDICC2	0.0518508948112105
0.01	20	17	No WGD	MEDALT	0.46808996332443
0.01	20	17	No WGD	Euclidean Min. Ev.	0.0772369198645897
0.01	20	17	No WGD	Euclidean NJ	0.0869485591736954
0.01	20	17	No WGD	Hamming Min. Ev.	0.0772369198645897
0.01	20	17	No WGD	Hamming NJ	0.185330432123179
0.01	20	17	No WGD	MEDICC2	0.0461240503031359
0.01	20	18	High WGD	MEDALT	0.416929976706116
0.01	20	18	High WGD	Euclidean Min. Ev.	0.105694786672361
0.01	20	18	High WGD	Euclidean NJ	0.105694786672361
0.01	20	18	High WGD	Hamming Min. Ev.	0.105694786672361
0.01	20	18	High WGD	Hamming NJ	0.212462758079163
0.01	20	18	High WGD	MEDICC2	0.135350607448907
0.01	20	18	Low WGD	MEDALT	0.573836236000421
0.01	20	18	Low WGD	Euclidean Min. Ev.	0.0
0.01	20	18	Low WGD	Euclidean NJ	0.0622596297044339
0.01	20	18	Low WGD	Hamming Min. Ev.	0.0
0.01	20	18	Low WGD	Hamming NJ	0.0
0.01	20	18	Low WGD	MEDICC2	0.0
0.01	20	18	No WGD	MEDALT	0.453704398097756
0.01	20	18	No WGD	Euclidean Min. Ev.	0.268636794929868
0.01	20	18	No WGD	Euclidean NJ	0.233655868207448
0.01	20	18	No WGD	Hamming Min. Ev.	0.268636794929868
0.01	20	18	No WGD	Hamming NJ	0.144871344400248
0.01	20	18	No WGD	MEDICC2	0.160403984397307
0.01	20	19	High WGD	MEDALT	0.362171936513274
0.01	20	19	High WGD	Euclidean Min. Ev.	0.277930617178875
0.01	20	19	High WGD	Euclidean NJ	0.277930617178875
0.01	20	19	High WGD	Hamming Min. Ev.	0.277930617178875
0.01	20	19	High WGD	Hamming NJ	0.227858868047724
0.01	20	19	High WGD	MEDICC2	0.111799514543434
0.01	20	19	Low WGD	MEDALT	0.390420148116014
0.01	20	19	Low WGD	Euclidean Min. Ev.	0.223798209814281
0.01	20	19	Low WGD	Euclidean NJ	0.29874414997057
0.01	20	19	Low WGD	Hamming Min. Ev.	0.223798209814281
0.01	20	19	Low WGD	Hamming NJ	0.234423552315898
0.01	20	19	Low WGD	MEDICC2	0.205471581235591
0.01	20	19	No WGD	MEDALT	0.433355190528529
0.01	20	19	No WGD	Euclidean Min. Ev.	0.279420229525942
0.01	20	19	No WGD	Euclidean NJ	0.262933745162335
0.01	20	19	No WGD	Hamming Min. Ev.	0.279420229525942
0.01	20	19	No WGD	Hamming NJ	0.300565537732874
0.01	20	19	No WGD	MEDICC2	0.140054888999068
0.01	20	20	High WGD	MEDALT	0.380164347135905
0.01	20	20	High WGD	Euclidean Min. Ev.	0.372133640215596
0.01	20	20	High WGD	Euclidean NJ	0.364875530722071
0.01	20	20	High WGD	Hamming Min. Ev.	0.372133640215596
0.01	20	20	High WGD	Hamming NJ	0.239190845753201
0.01	20	20	High WGD	MEDICC2	0.228370304172888
0.01	20	20	No WGD	MEDALT	0.583846949164835
0.01	20	20	No WGD	Euclidean Min. Ev.	0.0467427959721366
0.01	20	20	No WGD	Euclidean NJ	0.112052953850251
0.01	20	20	No WGD	Hamming Min. Ev.	0.0467427959721366
0.01	20	20	No WGD	Hamming NJ	0.117895338139403
0.01	20	20	No WGD	MEDICC2	0.0467427959721366
0.01	20	21	High WGD	MEDALT	0.40331623166458
0.01	20	21	High WGD	Euclidean Min. Ev.	0.245696563479433
0.01	20	21	High WGD	Euclidean NJ	0.256148103594996
0.01	20	21	High WGD	Hamming Min. Ev.	0.245696563479433
0.01	20	21	High WGD	Hamming NJ	0.335790743426374
0.01	20	21	High WGD	MEDICC2	0.151112557123723
0.01	20	21	Low WGD	MEDALT	0.501074945314338
0.01	20	21	Low WGD	Euclidean Min. Ev.	0.263664508128406
0.01	20	21	Low WGD	Euclidean NJ	0.28348858739408
0.01	20	21	Low WGD	Hamming Min. Ev.	0.263664508128406
0.01	20	21	Low WGD	Hamming NJ	0.131549007254852
0.01	20	21	Low WGD	MEDICC2	0.194923892980309
0.01	20	21	No WGD	MEDALT	0.441814072394811
0.01	20	21	No WGD	Euclidean Min. Ev.	0.0787907446381711
0.01	20	21	No WGD	Euclidean NJ	0.0787907446381711
0.01	20	21	No WGD	Hamming Min. Ev.	0.0787907446381711
0.01	20	21	No WGD	Hamming NJ	0.0907913485367244
0.01	20	21	No WGD	MEDICC2	0.0307337225900791
0.01	20	22	High WGD	MEDALT	0.387688165229288
0.01	20	22	High WGD	Euclidean Min. Ev.	0.244510997886329
0.01	20	22	High WGD	Euclidean NJ	0.274804518807639
0.01	20	22	High WGD	Hamming Min. Ev.	0.244510997886329
0.01	20	22	High WGD	Hamming NJ	0.201888975136447
0.01	20	22	High WGD	MEDICC2	0.189217165725043
0.01	20	22	Low WGD	MEDALT	0.354985312769828
0.01	20	22	Low WGD	Euclidean Min. Ev.	0.110567251135472
0.01	20	22	Low WGD	Euclidean NJ	0.0879983476208684
0.01	20	22	Low WGD	Hamming Min. Ev.	0.110567251135472
0.01	20	22	Low WGD	Hamming NJ	0.0840052380139225
0.01	20	22	Low WGD	MEDICC2	0.110567251135472
0.01	20	22	No WGD	MEDALT	0.431004823860939
0.01	20	22	No WGD	Euclidean Min. Ev.	0.13029002884389
0.01	20	22	No WGD	Euclidean NJ	0.0731934130121194
0.01	20	22	No WGD	Hamming Min. Ev.	0.13029002884389
0.01	20	22	No WGD	Hamming NJ	0.120201768015054
0.01	20	22	No WGD	MEDICC2	0.113558009230325
0.01	20	23	High WGD	MEDALT	0.529118762397531
0.01	20	23	High WGD	Euclidean Min. Ev.	0.15061719609921
0.01	20	23	High WGD	Euclidean NJ	0.121762434159957
0.01	20	23	High WGD	Hamming Min. Ev.	0.15061719609921
0.01	20	23	High WGD	Hamming NJ	0.15061719609921
0.01	20	23	High WGD	MEDICC2	0.121762434159957
0.01	20	23	Low WGD	MEDALT	0.406636229570174
0.01	20	23	Low WGD	Euclidean Min. Ev.	0.187419723156563
0.01	20	23	Low WGD	Euclidean NJ	0.152596214346745
0.01	20	23	Low WGD	Hamming Min. Ev.	0.187419723156563
0.01	20	23	Low WGD	Hamming NJ	0.138370860415629
0.01	20	23	Low WGD	MEDICC2	0.0673399855489497
0.01	20	23	No WGD	MEDALT	0.43784031274715
0.01	20	23	No WGD	Euclidean Min. Ev.	0.0499772044830169
0.01	20	23	No WGD	Euclidean NJ	0.0499772044830169
0.01	20	23	No WGD	Hamming Min. Ev.	0.0499772044830169
0.01	20	23	No WGD	Hamming NJ	0.106438468408046
0.01	20	23	No WGD	MEDICC2	0.0
0.01	20	24	High WGD	MEDALT	0.436446348394716
0.01	20	24	High WGD	Euclidean Min. Ev.	0.216569836908009
0.01	20	24	High WGD	Euclidean NJ	0.216569836908009
0.01	20	24	High WGD	Hamming Min. Ev.	0.216569836908009
0.01	20	24	High WGD	Hamming NJ	0.302586291721762
0.01	20	24	High WGD	MEDICC2	0.0309990279171734
0.01	20	24	Low WGD	MEDALT	0.479068023711853
0.01	20	24	Low WGD	Euclidean Min. Ev.	0.221094747269722
0.01	20	24	Low WGD	Euclidean NJ	0.206819948053644
0.01	20	24	Low WGD	Hamming Min. Ev.	0.221094747269722
0.01	20	24	Low WGD	Hamming NJ	0.184113865021451
0.01	20	24	Low WGD	MEDICC2	0.0632280203981505
0.01	20	24	No WGD	MEDALT	0.535100580817367
0.01	20	24	No WGD	Euclidean Min. Ev.	0.196621292282907
0.01	20	24	No WGD	Euclidean NJ	0.136136513202771
0.01	20	24	No WGD	Hamming Min. Ev.	0.196621292282907
0.01	20	24	No WGD	Hamming NJ	0.313007043260059
0.01	20	24	No WGD	MEDICC2	0.222174662938437
0.025	5	0	High WGD	MEDALT	1.0
0.025	5	0	High WGD	Euclidean Min. Ev.	0.308181620264318
0.025	5	0	High WGD	Euclidean NJ	0.308181620264318
0.025	5	0	High WGD	Hamming Min. Ev.	0.308181620264318
0.025	5	0	High WGD	Hamming NJ	0.0
0.025	5	0	High WGD	MEDICC2	0.0
0.025	5	0	Low WGD	MEDALT	0.496393634439739
0.025	5	0	Low WGD	Euclidean Min. Ev.	0.0
0.025	5	0	Low WGD	Euclidean NJ	0.0
0.025	5	0	Low WGD	Hamming Min. Ev.	0.0
0.025	5	0	Low WGD	Hamming NJ	0.308181620264318
0.025	5	0	Low WGD	MEDICC2	0.0
0.025	5	0	No WGD	MEDALT	1.0
0.025	5	0	No WGD	Euclidean Min. Ev.	0.0
0.025	5	0	No WGD	Euclidean NJ	0.0
0.025	5	0	No WGD	Hamming Min. Ev.	0.0
0.025	5	0	No WGD	Hamming NJ	0.0
0.025	5	0	No WGD	MEDICC2	0.0
0.025	5	1	High WGD	MEDALT	0.496393634439739
0.025	5	1	High WGD	Euclidean Min. Ev.	0.0
0.025	5	1	High WGD	Euclidean NJ	0.0
0.025	5	1	High WGD	Hamming Min. Ev.	0.0
0.025	5	1	High WGD	Hamming NJ	0.0
0.025	5	1	High WGD	MEDICC2	0.0
0.025	5	1	Low WGD	MEDALT	0.517959650460847
0.025	5	1	Low WGD	Euclidean Min. Ev.	0.323732119916531
0.025	5	1	Low WGD	Euclidean NJ	0.0
0.025	5	1	Low WGD	Hamming Min. Ev.	0.323732119916531
0.025	5	1	Low WGD	Hamming NJ	0.323732119916531
0.025	5	1	Low WGD	MEDICC2	0.0
0.025	5	1	No WGD	MEDALT	0.496393634439739
0.025	5	1	No WGD	Euclidean Min. Ev.	0.0
0.025	5	1	No WGD	Euclidean NJ	0.0
0.025	5	1	No WGD	Hamming Min. Ev.	0.0
0.025	5	1	No WGD	Hamming NJ	0.0
0.025	5	1	No WGD	MEDICC2	0.0
0.025	5	2	High WGD	MEDALT	1.0
0.025	5	2	High WGD	Euclidean Min. Ev.	0.0
0.025	5	2	High WGD	Euclidean NJ	0.0
0.025	5	2	High WGD	Hamming Min. Ev.	0.0
0.025	5	2	High WGD	Hamming NJ	0.0
0.025	5	2	High WGD	MEDICC2	0.0
0.025	5	2	Low WGD	MEDALT	0.496393634439739
0.025	5	2	Low WGD	Euclidean Min. Ev.	0.0
0.025	5	2	Low WGD	Euclidean NJ	0.0
0.025	5	2	Low WGD	Hamming Min. Ev.	0.0
0.025	5	2	Low WGD	Hamming NJ	0.0
0.025	5	2	Low WGD	MEDICC2	0.0
0.025	5	2	No WGD	MEDALT	0.647739899902022
0.025	5	2	No WGD	Euclidean Min. Ev.	0.0
0.025	5	2	No WGD	Euclidean NJ	0.0
0.025	5	2	No WGD	Hamming Min. Ev.	0.0
0.025	5	2	No WGD	Hamming NJ	0.0
0.025	5	2	No WGD	MEDICC2	0.0
0.025	5	3	High WGD	MEDALT	0.321148929256266
0.025	5	3	High WGD	Euclidean Min. Ev.	0.0
0.025	5	3	High WGD	Euclidean NJ	0.0
0.025	5	3	High WGD	Hamming Min. Ev.	0.0
0.025	5	3	High WGD	Hamming NJ	0.0
0.025	5	3	High WGD	MEDICC2	0.0
0.025	5	3	Low WGD	MEDALT	0.649844040024517
0.025	5	3	Low WGD	Euclidean Min. Ev.	0.0
0.025	5	3	Low WGD	Euclidean NJ	0.0
0.025	5	3	Low WGD	Hamming Min. Ev.	0.0
0.025	5	3	Low WGD	Hamming NJ	0.0
0.025	5	3	Low WGD	MEDICC2	0.0
0.025	5	3	No WGD	MEDALT	0.321148929256266
0.025	5	3	No WGD	Euclidean Min. Ev.	0.0
0.025	5	3	No WGD	Euclidean NJ	0.0
0.025	5	3	No WGD	Hamming Min. Ev.	0.0
0.025	5	3	No WGD	Hamming NJ	0.0
0.025	5	3	No WGD	MEDICC2	0.0
0.025	5	4	High WGD	MEDALT	0.193126721428565
0.025	5	4	High WGD	Euclidean Min. Ev.	0.0
0.025	5	4	High WGD	Euclidean NJ	0.0
0.025	5	4	High WGD	Hamming Min. Ev.	0.0
0.025	5	4	High WGD	Hamming NJ	0.0
0.025	5	4	High WGD	MEDICC2	0.0
0.025	5	4	Low WGD	MEDALT	0.387773075542673
0.025	5	4	Low WGD	Euclidean Min. Ev.	0.0
0.025	5	4	Low WGD	Euclidean NJ	0.0
0.025	5	4	Low WGD	Hamming Min. Ev.	0.0
0.025	5	4	Low WGD	Hamming NJ	0.0
0.025	5	4	Low WGD	MEDICC2	0.0
0.025	5	4	No WGD	MEDALT	0.249768746821144
0.025	5	4	No WGD	Euclidean Min. Ev.	0.0
0.025	5	4	No WGD	Euclidean NJ	0.0
0.025	5	4	No WGD	Hamming Min. Ev.	0.0
0.025	5	4	No WGD	Hamming NJ	0.0
0.025	5	4	No WGD	MEDICC2	0.0
0.025	5	5	High WGD	MEDALT	1.0
0.025	5	5	High WGD	Euclidean Min. Ev.	0.0
0.025	5	5	High WGD	Euclidean NJ	0.0
0.025	5	5	High WGD	Hamming Min. Ev.	0.0
0.025	5	5	High WGD	Hamming NJ	0.0
0.025	5	5	High WGD	MEDICC2	0.0
0.025	5	5	Low WGD	MEDALT	0.473539945238102
0.025	5	5	Low WGD	Euclidean Min. Ev.	0.308181620264318
0.025	5	5	Low WGD	Euclidean NJ	0.308181620264318
0.025	5	5	Low WGD	Hamming Min. Ev.	0.308181620264318
